Restaurant,Burrito Name,Menu Name,Type,Taco/Burrito,Date,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes
Senor Panchos,California,California Burrito,California,Burrito,42603,San Marcos,1909 W San Marcos Blvd,"1909 W San Marcos Blvd, San Marcos CA",https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,4,4.2,7.75,4,4,4.5,2,2,3.5,3.5,2,2,4,3,Brent,"Carrots are bad, got better as it went on"
Sotos Mexican Food,California,California Burrito,California,Burrito,42494,Miramar ,6904 Miramar Rd,"6904 Miramar Rd, Miramar  CA",https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,6.99,3.7,3.6,4,4,3,3.8,4.3,,3.8,2,3.5,Scott,Richard recommended this. Like a Mediterranean burrito
Sotos Mexican Food,Pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42494,Miramar ,6904 Miramar Rd,"6904 Miramar Rd, Miramar  CA",https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,6.6,,4,4.5,4,3.5,3.5,5,1.5,3.5,4.5,3.7,Scott,Usually better. Too much enchilada sauce this time
Storehouse Kitchen ,Breakfast,Breakfast Burrito,Breakfast,Burrito,42660,La Jolla,2236 Avenida De La Playa,"2236 Avenida De La Playa, La Jolla CA",,,,6.6,,4,2,,4,,4.6,4.2,3.75,5,3.9,Sage,Orange salsa very spicy
Taco Stand,California,California Burrito,California,Burrito,42412,La Jolla,621 Pearl St,"621 Pearl St, La Jolla CA",http://letstaco.com/,4.5,4.4,8.5,3.9,3,4.5,4.1,3,3.7,4,4.3,4.2,5,3.9,Scott,Fresca and verde salsas are the best
Taco Stand,Surf and Turf ,Surf and Turf  Burrito,Seafood,Burrito,42412,La Jolla,621 Pearl St,"621 Pearl St, La Jolla CA",http://letstaco.com/,4.5,4.4,7.9,4,3.5,4,4,3,4,4.5,4,3.8,4.8,3.8,Emily,Pastor is dry
Taco Stand,California,California Burrito,California,Burrito,42428,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,4.99,3.5,2.5,4.5,3,2.5,3,3,2,2,4,3,Scott,Somehow way better when it was leftover
Taco Stand,California,California Burrito,California,Burrito,42428,Kearny Mesa,7305 Clairemont Mesa Blvd,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4.4,7.29,3.5,3,2,3.5,3.5,3,2.5,3.7,3.2,4.2,3.7,Scott,"Cheese is cold, but guac, salsa, and chips are good"
Taco stand,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42447,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.89,3,4,5,4.5,4,4.5,3.5,3,4.5,2.5,4.25,Richard,quality ingredients
Taco stand,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42447,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.49,3.7,4,3.5,3.9,4,3.7,2,3.5,4,4,3.9,Tom,tons of french fries
Taco stand,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42474,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.49,5,4,4,4,2,3,0,,1,2,2,Rob L,way too spicy
Taco stand,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42474,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.9,3.5,4.5,5,4,3.5,4,2.8,4,4.5,3.7,4.2,Scott,
Taco stand,California,California Burrito,California,Burrito,46137,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.9,2,4.2,4,4.2,3.8,4,3,3.8,4.5,5,4.2,Emily,
Taco stand,California,California Burrito,California,Burrito,42496,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,5.99,4.5,2,4,2.5,3.5,4.5,3,2,1.5,3.4,3.1,Scott,
Taco stand,California,California Burrito,California,Burrito,42496,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,6.99,3.5,2.5,4.5,4,4,2,3,3,3,4,3,Ricardo ,
Taco stand,California,California Burrito,California,Burrito,42496,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,6.85,3.5,3,2,3.5,3.5,4,3,3.5,3.5,4.5,3.6,Scott,
Taco stand,California,California Burrito,California,Burrito,42496,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,6.85,4,5,5,4.5,4,5,4,4,5,5,4.3,Nihal,
Taco stand,California,California Burrito,California,Burrito,42496,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,,4.3,3,3,3.5,4,3,1.5,3.8,4,5,4,Scott,Salsa much better this time than before
Taco stand,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42496,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.19,4.5,4,2,3,3.8,3.5,2,4,4,4,3.5,Scott,
Taco stand,Shrimp,Shrimp Burrito,Seafood,Burrito,42496,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.9,2.5,3,4.5,4.3,4,3,3.1,3.9,4.2,3,4.1,Scott,
Taco Stand,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42527,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.9,3,3,3.5,4.5,4,4,4,4,4,3.5,4,Emily,
Taco Stand,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42527,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.9,3,5,5,5,4,5,4,4,5,4,5,Audrey L,
Taco Stand,California ,California Burrito,California,Burrito,42599,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.9,3,3.5,4,4,4,4.5,3.5,4,3.5,4,4,Spencer,
Taco Stand,California ,California Burrito,California,Burrito,42599,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.35,3.5,3.5,3,3.5,3,4.5,4.5,4,4,5,3.75,Emily,
Taco Stand,Al Pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42629,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,6.35,3.5,4,3,3,3,2.5,3,3.5,2.8,5,3.1,Scott,
Taco Stand,California,California Burrito,California,Burrito,42629,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,7.5,4,3,,4,4,3,5,3,4,5,4.1,Erik,
Taco Stand,California ,California Burrito,California,Burrito,43098,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,6.5,4.5,4.5,3,3.5,4.5,3.5,4,3.5,4.3,4.3,4.1,Scott,
Taco Stand,California ,California Burrito,California,Burrito,43098,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,6.5,4,4,3.5,4.5,4,3.5,4.5,4,4,4.5,4,Ricardo,
Taco Stand Encinitas,California ,California Burrito,California,Burrito,42672,Encinitas ,642 S Coast Hwy 101,"642 S Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/the-taco-stand-encinitas,4,4.4,4.75,4,4,4,4.5,4.3,4.5,4.5,4.8,4.8,5,4.5,Luis,
Taco Stand Encinitas,California ,California Burrito,California,Burrito,42672,Encinitas ,642 S Coast Hwy 101,"642 S Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/the-taco-stand-encinitas,4,4.4,6.75,4,4,4,4,3.5,3.5,3,2,3.5,3.5,3.5,Hannah,
Taco Stand Encinitas,California,California Burrito,California,Burrito,42896,Encinitas ,642 S Coast Hwy 101,"642 S Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/the-taco-stand-encinitas,4,4.4,6.5,4,3,3,4,4,4,4,3,4,4,4,Clark,
Taco Stand Encinitas ,California,California Burrito,California,Burrito,42896,Encinitas ,642 S Coast Hwy 101,"642 S Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/the-taco-stand-encinitas,4,4.4,6.75,4,3,5,5,,,5,,4,5,4.5,Justin C,
Taco Surf PB,California,California Burrito,California,Burrito,42513,Pacific Beach,4657 Mission Blvd,"4657 Mission Blvd, Pacific Beach CA",https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4,4.6,7.1,4,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,Scott,red-orange salsa has a slight fruity flavor that's really good
Taco Surf PB,California,California Burrito,California,Burrito,42513,Pacific Beach,4657 Mission Blvd,"4657 Mission Blvd, Pacific Beach CA",https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4,4.6,8.25,3.5,3.5,4,4,3,3.5,4.5,3.5,3.5,5,3.6,Emily,Rice was plain. Also don't like rice in burrito
Taco Surf PB,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42513,Pacific Beach,4657 Mission Blvd,"4657 Mission Blvd, Pacific Beach CA",https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4,4.6,5.99,4,2,4.5,4.5,3,3.8,4.4,2.5,3.5,3,4,Scott,
Taco Villa,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42639,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,5.99,4,4,4,4,3,4,3.5,2.5,3.5,5,3.5,Richard,
Taco Villa,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42642,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,10,3,3,4,3.2,3.5,1.8,1.8,3.5,3.7,3.5,3.9,Scott,
Taco Villa,Chicken and rice,Chicken and rice Burrito,Chicken,Burrito,42655,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,10,4.2,3,4.5,3.5,3.5,2.5,2,3,3.5,4.5,3.5,Ricardo,
Taco Villa,California ,California Burrito,California,Burrito,42660,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,6.25,4.4,4.2,4.5,4,3,5,3.8,2.5,3,5,3.7,Scott,
Taco Villa,Breakfast,Breakfast Burrito,Breakfast,Burrito,42661,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,6.25,3,4.5,4.5,3.7,3.5,4,3.5,3,4,4.5,4,Emily,
Taco Villa,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42670,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7.75,5,3.5,4.2,3.3,3.7,4,4,2.9,3,5,3.7,Scott ,
Taco Villa,Tejano,Tejano Burrito,Specialty,Burrito,42670,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7.75,2.5,4,4,2.6,3.6,4,4,3.6,4,4,2.9,Luis,
Taco Villa,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42670,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,8.25,3.8,4,,4,3,3,2.5,4,3,5,3.6,Scott,
Taco Villa,Shrimp with guac,Shrimp with guac Burrito,Seafood,Burrito,42670,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,8.99,4,3.5,3,3.5,3.5,4,2,4,4,4,3.4,Tom,
Taco Villa,Bean and Cheese,Bean and Cheese Burrito,Vegetarian,Burrito,42670,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,6.85,4,3.5,5,3.3,3,5,2,3,3.8,3.5,3.9,Scott,
Taco Villa,Chicken,Chicken Burrito,Chicken,Burrito,42745,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,6.85,4,4,5,4,4,5,3.5,2,3.5,4,4,Elynn,
Taco Villa,Pollo asado,Pollo asado Burrito,Chicken,Burrito,42755,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7.4,3.3,5,4,4.2,3.5,2.9,3,4,4,4,4,Scott,
Taco Villa,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42755,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7.4,3.5,4.5,4,4,3.5,3,3,2.5,4,3.8,3.8,Emily,
Taco Villa,California,California Burrito,California,Burrito,42787,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,9.95,4.2,3.5,5,3,1.5,3,2.5,3,2.2,2.5,2.8,Scott,
Taco Villa,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42850,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7,3.5,4,4,2,2.5,4.5,4,3,2.9,4.5,2.8,Scott,
Taco Villa,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42850,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,9,3,3.5,4,4,4,4.5,4.5,2,3.5,4,4,Richard,
Taco Villa,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42928,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7,3.5,3,3,2,2,3,2,3,2,3,2.2,Tom,
Taco VIlla,California,California Burrito,California,Burrito,42935,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,6.99,4,3,4,4,2.5,2.5,3,3,3,5,3,Emily,too many fries. Not great
Taco Villa,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42972,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7.19,3.5,3.5,4.5,3.5,3.5,3,3.5,4,3.5,5,3.8,Scott,
Taco Villa,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42972,UTC,9500 Gilman Dr,"9500 Gilman Dr, UTC CA",https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,7.89,4,3,,4.5,4,4.5,4.5,4.5,4.8,3.3,4.7,Scott,
Tacos La Bala,Pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42618,Houston,5800 Bellaire Blvd,"5800 Bellaire Blvd, Houston CA",tacoslabala.com,4.5,4.1,7.89,4,3,,4,4,4.5,4,4.5,4.5,5,4.5,Emily,
Tacos La Bala,Barbacoa ,Barbacoa  Burrito,Carne Asada / Beef,Burrito,42618,Houston,5800 Bellaire Blvd,"5800 Bellaire Blvd, Houston CA",tacoslabala.com,4.5,4.1,6.9,4.3,3,3,3.5,3.5,3.5,3.5,3.8,4,5,3.7,Scott,
Tacos por favor,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42532,Santa Monica,1408 Olympic Blvd,"1408 Olympic Blvd, Santa Monica CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4,4.1,8.55,3,3,2.5,3,3,3.5,2.8,3.5,2.8,1.5,3,Scott,
Tacos por favor,Al pastor,Al Pastor Burrito,Carnitas / Pork,Burrito,42532,Santa Monica,1408 Olympic Blvd,"1408 Olympic Blvd, Santa Monica CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4,4.1,7.8,2.5,3,2,3.5,3,3,4,3,3.8,4.5,3.5,Emily,
Tacos por favor,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42532,Santa Monica,1408 Olympic Blvd,"1408 Olympic Blvd, Santa Monica CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4,4.1,5.56,2.5,2.5,3,2.5,3.5,4.5,4.5,3.7,3.3,4.5,3.5,Scott,
Tony's Fresh Mexican Food,Chile verde pork,Chile verde pork Burrito,Carnitas / Pork,Burrito,42411,Miramar,7122 Miramar Rd,"7122 Miramar Rd, Miramar CA",https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3,4.1,5.56,4,4,4,4,3,4,2,4,3,3,4,Chris G,
Tony's Fresh Mexican Food,California,California Burrito,California,Burrito,42411,Miramar,7122 Miramar Rd,"7122 Miramar Rd, Miramar CA",https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3,4.1,5.56,3.5,3.5,3,,3.5,3,4,4.5,3.5,4,3.5,Xi,
Tony's Fresh Mexican Food,battered fish ,battered fish  Burrito,Seafood,Burrito,42411,Miramar,7122 Miramar Rd,"7122 Miramar Rd, Miramar CA",https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3,4.1,6.47,4,1,2,2,2,3,3,1,2,3,2,Erik K,
Tony's Fresh Mexican Food,California,California Burrito,California,Burrito,42411,Miramar,7122 Miramar Rd,"7122 Miramar Rd, Miramar CA",https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3,4.1,7.35,3.5,3.2,3,3.5,3.5,3,3.3,3,3.8,2,3.5,Scott,
Valentines Mexican Food,California ,California Burrito,California,Burrito,42644,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,6.99,3,3,4.5,2,3,2.5,4,2,2,4,2,Richard,
Valentines Mexican Food,California Chipotle,California Chipotle Burrito,California,Burrito,42644,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,6.99,4,4,,3.5,3.5,3.5,3.5,3.5,3.5,5,3.7,Scott,
Valentines Mexican Food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42690,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,8.5,3.8,4,4.5,3,4,3,2.5,3.5,3.5,3,4,Scott,
Valentines Mexican Food,Pork california,Pork California Burrito,Chicken,Burrito,42690,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,8.5,4,4,4,3.75,4,3.5,3.5,4,5,3.5,4,Emily,
Valentines Mexican Food,California,California Burrito,California,Burrito,42690,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,6.75,4,4,4.5,3.5,3.5,4.5,4.5,3,3.5,4,3.9,Scott,
Valentines Mexican Food,California,California Burrito,California,Burrito,42690,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,7.9,4,4,5,5,5,5,5,5,4,3.5,4.8,Simon,
Valentines Mexican Food,California,California Burrito,California,Burrito,42690,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,8.35,4.5,3,3,4,3,4,2.5,4,4.5,4,4.1,Scott,
Valentines Mexican Food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42954,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,25,4,3.8,4.4,4,3.8,4,4,4,4,5,4.2,Scott,Good. but just get a regular Cali.
Valentines Mexican Food,California,California Burrito,California,Burrito,42954,Downtown,1157 Sixth Ave,"1157 Sixth Ave, Downtown CA",https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,7,4,4.5,5,4,4,4,3.7,3.8,4.6,4.8,4.2,Simon,
Vallarta Express,Quesaburro,Quesaburro Burrito,Vegetarian,Burrito,42450,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,6.99,4,4,5,3.5,3.8,3,2.5,3.3,4,5,3.7,Scott,
Vallarta Express,Philly ,Philly  Burrito,Specialty,Burrito,42450,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,7.1,3,3.5,5,4,4,4.5,4.75,3.75,4,5,4.2,Emily,
Vallarta Express,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42450,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,6.47,4,3,3,2,2.5,1.5,2.5,2.5,3,5,3.2,Scott,
Vallarta Express,Quesa,Quesa Burrito,Vegetarian,Burrito,42450,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,8.94,3.5,2.5,3.5,3.5,3.5,3.5,4,3,3.5,4.5,3.8,Emily,
Vallarta Express,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42450,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,5.99,2,2,2.5,4,3,4,3.5,3,3,5,3.8,Scott,
Vallarta Express,Mahi,Mahi Burrito,Seafood,Burrito,42450,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,6.99,3.5,4,4,4,4.5,4,3.5,4,4,4,4.3,Nuttida,
Vallarta Express,Fish,Fish Burrito,Seafood,Burrito,42475,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,8.5,3.5,3.5,4,4.5,4,3,4,3.5,4.5,5,4.3,Scott,
Vallarta Express,California,California Burrito,California,Burrito,42475,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,8.5,3.5,4,4,4,4.5,4.2,4.5,4,4.5,4.8,4.5,Emily,
Vallarta Express,California,California Burrito,California,Burrito,42499,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,6.85,3.5,3,4.5,3.8,3.8,4,3.5,3.5,4,3,4.1,Scott,
Vallarta Express,California,California Burrito,California,Burrito,42810,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,6.85,3.5,3,4.5,4,4,4.5,3,4,4,3.5,4.25,Sage,
Vallarta Express,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42910,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,11.5,3.5,2,2,4,3.5,3,4.5,3.5,4,2,3.5,Scott,Maybe a little better than chipotle. Or at least more authentic.
Vallarta Express,California,California Burrito,California,Burrito,42910,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,7.89,4,4,3,4,4,3,4,3.5,4.3,4.5,4.2,Scott,
Vallarta Express,California,California Burrito,California,Burrito,42956,Clairemont,4277 Genesee Ave,"4277 Genesee Ave, Clairemont CA",http://www.vallartaexpress.com/menu/,3.5,4,7.89,5,5,5,5,5,4,4,5,5,3,4.5,Ben S,
